 ,,,,,,,,,,,,,
,,,,,,,,,,,,,
Category,Have/Exclude,Component / Item,Qty ,Est. USD,Est. Total,Notes,Sources,,,,,,Additional Notes
Bearing,FALSE,624ZZ,1,$0.10,$0.10,JLC,https://jlcmc.com/product/b/C15/BR8364/deep-groove-ball-bearing-double-side-with-dust-cover,,,,,,
Bearing,FALSE,Mr84zz,10,$1.01,$10.06,,https://www.aliexpress.us/item/3256809175647670.html,,,,,,
SLM Parts,FALSE,Heatblock brace,1,$11.90,$11.90,,,,,,,,
SLM Parts,FALSE,Ducts,1,$31.56,$31.56,,,,,,,,
SLM Parts,FALSE,Belt Clamp,2,$4.00,$8.00,,,,,,,,
SLM Parts,FALSE,Belt Clip,2,$4.00,$8.00,,,,,,,,
CNC Parts,FALSE,Center Block,1,$86.06,$86.06,JLC,https://jlccnc.com/cnc-machining-quote,,,,,,
CNC Parts,FALSE,Extruder Housing,1,$39.21,$39.21,JLC,https://jlccnc.com/cnc-machining-quote,,,,,,
CNC Parts,FALSE,Hotend Block,1,$50.21,$50.21,JLC,https://jlccnc.com/cnc-machining-quote,,,,,,
CPAP,FALSE,Hose Clamps,10,$0.19,$1.87,,https://www.aliexpress.us/item/3256807343760250.html,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Category,Have/Exclude,Component / Item,Qty ,Est. USD,Est. Total,Notes,Sources,,,,,,Additional Notes
Z axis,,,,,,,,,,,,,
Rails,TRUE,MGN12H 200mm,3,,,Sponsored by BST,,,,,,,
Bed,TRUE,160mm SaladFork Bed,1,,,,,,,,,,
Heater,FALSE,JLC Flex heater,1,$20.01,$20.01,JLC,https://flexheater.jlcpcb.com/quote,,,,,,
G2z,FALSE,G2z Kits,2,$39.99,$79.98,Filastruder,,,,,,,
Belt,FALSE,9mm 2m,1,$23.80,$23.80,Filastruder,https://www.filastruder.com/collections/gates/products/gates-2gt-belts-high-temperature-epdm?variant=31777554890823,,,,,,
Pulley,FALSE,20t Gt2 9mm Pulley 8mm ID,3,$5.64,$16.92,,https://www.aliexpress.us/item/2255800930086012.html,,,,,,
Pin,FALSE,8x45mm M5,3,$1.72,$5.16,JLC,https://jlcmc.com/product/s/B08/BACD/linear-shaft-solid-straight-one-end-with-internal-thread-g6-tolerance,,,,,,
Spring,TRUE,Bed Springs,3,,,,,,,,,,
Bearing,FALSE,MR148ZZ,6,$0.18,$1.11,JLC,https://jlcmc.com/product/b/C15/BR8364/deep-groove-ball-bearing-double-side-with-dust-cover,,,,,,
